,DATA_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASIL,CPB_ROE,PAIS_OBRA,REGISTRO_SALA,NOME_SALA,PUBLICO,REGISTRO_GRUPO_EXIBIDOR,REGISTRO_EXIBIDOR,REGISTRO_COMPLEXO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_EXIBIDORA,CNPJ_EXIBIDORA
11,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5006100,CINESYSTEM AMÉRICAS 08,8.0,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
15,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5005008,CINESYSTEM S SULACAP 05,13.0,6000027.0,5348,28835,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
21,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5000216,IGUATEMI 7,2.0,6000037.0,1991,2425,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
28,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5001960,KINOPLEX NOVA AMÉRICA SALA 04,58.0,6000037.0,1991,2426,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
33,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5002178,KINOPLEX TIJUCA SALA 04,23.0,6000037.0,11751,13416,RIO DE JANEIRO,RJ,SR RIO DE JANEIRO CINEMAS S/A,08.262.566/0001-01
39,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5000771,NEW YORK CITY CENTER - SALA 07,41.0,6000058.0,749,2620,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
40,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5000773,NEW YORK CITY CENTER - SALA 09,18.0,6000058.0,749,2620,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
41,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5000773,NEW YORK CITY CENTER - SALA 09,13.0,6000058.0,749,2620,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
53,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5002053,UCI - KINOPLEX NORTE SHOPPING - SALA 08,19.0,6000059.0,2612,12748,RIO DE JANEIRO,RJ,UCI RIBEIRO LTDA,02.117.937/0001-77
54,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5002053,UCI - KINOPLEX NORTE SHOPPING - SALA 08,21.0,6000059.0,2612,12748,RIO DE JANEIRO,RJ,UCI RIBEIRO LTDA,02.117.937/0001-77
57,01/08/2024,A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,E2400134100000,ESTADOS UNIDOS,5003755,UCI BRASIL SPCG - SALA 07,19.0,6000058.0,749,23929,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
70,01/08/2024,AKU WA SONZAI SHINAI,O MAL NÃO EXISTE,E2400245700000,JAPÃO,5007161,CINESYSTEM BOTAFOGO SALA 02,13.0,6000027.0,22546,58568,RIO DE JANEIRO,RJ,REDECINE BRA CINEMATOGRÁFICA S.A.,15.422.993/0001-67
71,01/08/2024,AKU WA SONZAI SHINAI,O MAL NÃO EXISTE,E2400245700000,JAPÃO,5007161,CINESYSTEM BOTAFOGO SALA 02,22.0,6000027.0,22546,58568,RIO DE JANEIRO,RJ,REDECINE BRA CINEMATOGRÁFICA S.A.,15.422.993/0001-67
94,01/08/2024,AVASSALADORAS 2.0,,B2400119900000,BRASIL,5003637,VILLAGE MALL 04,,6000018.0,1843,22951,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
99,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5004998,CINESYSTEM AMERICAS 02,2.0,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
100,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5005003,CINESYSTEM AMERICAS 07,,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
101,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5006101,CINESYSTEM AMÉRICAS 09,,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
102,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5007165,CINESYSTEM BOTAFOGO SALA 06,1.0,6000027.0,22546,58568,RIO DE JANEIRO,RJ,REDECINE BRA CINEMATOGRÁFICA S.A.,15.422.993/0001-67
107,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5000711,DOWTOWN 10,3.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
112,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5000771,NEW YORK CITY CENTER - SALA 07,26.0,6000058.0,749,2620,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
113,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5000771,NEW YORK CITY CENTER - SALA 07,2.0,6000058.0,749,2620,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
123,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5002053,UCI - KINOPLEX NORTE SHOPPING - SALA 08,27.0,6000059.0,2612,12748,RIO DE JANEIRO,RJ,UCI RIBEIRO LTDA,02.117.937/0001-77
124,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5002053,UCI - KINOPLEX NORTE SHOPPING - SALA 08,2.0,6000059.0,2612,12748,RIO DE JANEIRO,RJ,UCI RIBEIRO LTDA,02.117.937/0001-77
128,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5003765,UCI BRASIL - PARK SHOPPING CG - SALA 2,,6000058.0,749,23929,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
137,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5006741,UCI PARK JACAREPAGUÁ 3,1.0,6000058.0,749,50201,RIO DE JANEIRO,RJ,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,01.289.530/0001-64
147,01/08/2024,BANDIDA,,B2400093000000,BRASIL,5003637,VILLAGE MALL 04,5.0,6000018.0,1843,22951,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
160,01/08/2024,BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,E2400243000000,CORÉIA DO SUL,5000702,DOWTOWN 1,28.0,6000018.0,1843,899,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
187,01/08/2024,"DE REPENTE, MISS!",,B2300374700000,BRASIL,5004997,CINESYSTEM AMERICAS 01,,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
188,01/08/2024,"DE REPENTE, MISS!",,B2300374700000,BRASIL,5005000,CINESYSTEM AMERICAS 04,,6000027.0,5348,28834,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
193,01/08/2024,"DE REPENTE, MISS!",,B2300374700000,BRASIL,5005009,CINESYSTEM S SULACAP 06,,6000027.0,5348,28835,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
194,01/08/2024,"DE REPENTE, MISS!",,B2300374700000,BRASIL,5003041,CINESYSTEM VIA BRASIL 4,,6000027.0,5348,18721,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
195,01/08/2024,"DE REPENTE, MISS!",,B2300374700000,BRASIL,5003044,CINESYSTEM VIA BRASIL 6,3.0,6000027.0,5348,18721,RIO DE JANEIRO,RJ,REDECINE - RIO CINEMATOGRAFICA S.A.,07.524.011/0001-10
385,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000339,BOTAFOGO 3,41.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
386,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000339,BOTAFOGO 3,111.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
387,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000339,BOTAFOGO 3,23.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
388,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000341,BOTAFOGO 5,6.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
389,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000341,BOTAFOGO 5,22.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
390,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000341,BOTAFOGO 5,27.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
391,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000341,BOTAFOGO 5,88.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
392,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000342,BOTAFOGO 6,39.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
393,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000342,BOTAFOGO 6,5.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
394,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000342,BOTAFOGO 6,11.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
395,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000342,BOTAFOGO 6,27.0,6000018.0,1843,2541,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
418,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000235,CARIOCA SHOPPING 1,42.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
419,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000235,CARIOCA SHOPPING 1,8.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
420,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000235,CARIOCA SHOPPING 1,76.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
421,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000235,CARIOCA SHOPPING 1,17.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
422,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000236,CARIOCA SHOPPING 2,17.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
423,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000236,CARIOCA SHOPPING 2,105.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
424,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000236,CARIOCA SHOPPING 2,50.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
425,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000236,CARIOCA SHOPPING 2,47.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
426,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000242,CARIOCA SHOPPING 6,59.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
427,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000242,CARIOCA SHOPPING 6,39.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
428,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000242,CARIOCA SHOPPING 6,141.0,6000018.0,1843,2525,RIO DE JANEIRO,RJ,CINEMARK BRASIL S.A,00.779.721/0001-41
729,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5006698,CINE CARIOCA NOVA BRASÍLIA,55.0,,45451,49753,RIO DE JANEIRO,RJ,WELLINGTON CARDOSO DA LUZ CINEMAS LTDA,36.563.373/0001-18
730,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5006698,CINE CARIOCA NOVA BRASÍLIA,13.0,,45451,49753,RIO DE JANEIRO,RJ,WELLINGTON CARDOSO DA LUZ CINEMAS LTDA,36.563.373/0001-18
812,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000848,CINE ESTAÇÃO NET BOTAFOGO SALA 1,3.0,6000030.0,2685,6713,RIO DE JANEIRO,RJ,CINECLUBE PAU BRASIL,29.171.311/0001-03
813,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5000848,CINE ESTAÇÃO NET BOTAFOGO SALA 1,22.0,6000030.0,2685,6713,RIO DE JANEIRO,RJ,CINECLUBE PAU BRASIL,29.171.311/0001-03
814,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005177,CINE ESTAÇÃO NET RIO - SALA 5,10.0,6000030.0,592,5126,RIO DE JANEIRO,RJ,ESTAÇÃO CINEMA E CULTURA LTDA,02.745.624/0001-63
815,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5005177,CINE ESTAÇÃO NET RIO - SALA 5,8.0,6000030.0,592,5126,RIO DE JANEIRO,RJ,ESTAÇÃO CINEMA E CULTURA LTDA,02.745.624/0001-63
1150,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007105,CINE SHOW RIO DAS OSTRAS 01,53.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1151,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007105,CINE SHOW RIO DAS OSTRAS 01,17.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1152,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007105,CINE SHOW RIO DAS OSTRAS 01,62.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1153,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007106,CINE SHOW RIO DAS OSTRAS 02,15.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1154,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007107,CINE SHOW RIO DAS OSTRAS 03,67.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1155,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5007104,CINE SHOW RIO DAS OSTRAS GOLD 05,2.0,6000025.0,2973,57657,RIO DE JANEIRO,RJ,TATU FILMES LTDA,72.089.667/0001-13
1318,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003573,CINECARIOCA MEIER 01,23.0,6000037.0,1991,22589,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
1319,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003573,CINECARIOCA MEIER 01,50.0,6000037.0,1991,22589,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
1320,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003573,CINECARIOCA MEIER 01,17.0,6000037.0,1991,22589,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
1321,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003574,CINECARIOCA MEIER 02,53.0,6000037.0,1991,22589,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
1322,01/08/2024,DEADPOOL & WOLVERINE,DEADPOOL & WOLVERINE,E2400232500000,ESTADOS UNIDOS,5003574,CINECARIOCA MEIER 02,31.0,6000037.0,1991,22589,RIO DE JANEIRO,RJ,EMPRESA CINEMAS SÃO LUIZ S/A,33.497.660/0001-89
