,titulo,titulo_original,ano,duracao,diretor,roteirista,elenco,nota,num_votos,sinopse,genero,verba,receita
0,Crepúsculo dos Deuses,Sunset Blvd.,1950,110,['Billy Wilder'],"['Charles Brackett', 'Billy Wilder', 'D.M. Marshman Jr.']","['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",8.4,243000.0,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,"['Drama', 'Filme noir']",1752000,308663
1,Rashomon,Rashômon,1950,88,['Akira Kurosawa'],"['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']","['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",8.2,185000.0,"A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.","['Policial', 'Drama', 'Mistério']",250000,133998
2,Cinderela,Cinderella,1950,74,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Charles Perrault', 'Bill Peet', 'Erdman Penner']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley']",7.3,178000.0,"Quando a cruel madrasta de Cinderela a impede de ir ao baile real, ela recebe ajuda inesperada de dois adoráveis ratos e de sua fada madrinha.","['Animação', 'Família', 'Fantasia', 'Musical', 'Romance']",2900000,96383330
3,A Malvada,All About Eve,1950,138,['Joseph L. Mankiewicz'],"['Joseph L. Mankiewicz', 'Mary Orr']","['Bette Davis', 'Anne Baxter', 'George Sanders']",8.2,142000.0,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.",['Drama'],1400000,154501
4,Meu Amigo Harvey,Harvey,1950,104,['Henry Koster'],"['Mary Chase', 'Oscar Brodney', 'Myles Connolly']","['James Stewart', 'Wallace Ford', 'William H. Lynn']",7.9,59000.0,"Por insistir em que ele tem um coelho invisível de um metro e oitenta de altura como melhor amigo, sua família acredita que esse homem é louco, mas ele pode ser mais sábio do que parece.","['Comédia', 'Drama', 'Fantasia']",0,0
5,No Silêncio da Noite,In a Lonely Place,1950,94,['Nicholas Ray'],"['Andrew Solt', 'Edmund H. North', 'Dorothy B. Hughes']","['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy']",7.9,37000.0,"Um roteirista potencialmente violento é suspeito de assassinato até que seu adorável vizinho o esclarece. Entretanto, ele logo começa a ter suas dúvidas.","['Drama', 'Filme noir', 'Mistério', 'Romance', 'Suspense']",0,0
6,O Segredo das Joias,The Asphalt Jungle,1950,112,['John Huston'],"['Ben Maddow', 'John Huston', 'W.R. Burnett']","['Sterling Hayden', 'Louis Calhern', 'Jean Hagen']",7.8,31000.0,Riedenschneider é um ladrão famoso que sai da prisão com um plano: formar uma quadrilha e roubar 500 mil dólares em joias. Tudo vai bem até que pequenos incidentes e a ganância dos membros da gangue ameaçam arruinar todo o esquema.,"['Policial', 'Drama', 'Filme noir', 'Suspense']",1232000,29868
7,Winchester '73,Winchester '73,1950,92,['Anthony Mann'],"['Robert L. Richards', 'Borden Chase', 'Stuart N. Lake']","['James Stewart', 'Shelley Winters', 'Dan Duryea']",7.6,23000.0,A obsessão de um vaqueiro por um fuzil roubado o leva numa odisseia cheia de balas através do oeste americano.,"['Ação', 'Drama', 'Faroeste']",0,0
8,Os Esquecidos,Los olvidados,1950,85,['Luis Buñuel'],"['Luis Alcoriza', 'Max Aub', 'Luis Buñuel']","['Alfonso Mejía', 'Roberto Cobo', 'Estela Inda']",8.2,22000.0,"Um grupo de delinquentes juvenis vive uma vida violenta e cheia de crimes nas favelas da Cidade do México, e a moral do jovem Pedro é gradualmente corrompida e destruída pelos outros.","['Policial', 'Drama']",0,0
9,Rio Bravo,Rio Grande,1950,105,['John Ford'],"['James Kevin McGuinness', 'James Warner Bellah']","['John Wayne', ""Maureen O'Hara"", 'Ben Johnson']",7.0,18000.0,"Um oficial de cavalaria do Rio Grande enfrenta Apaches assassinos, um filho que é um recruta arriscado e sua esposa, da qual ele está separado há muitos anos.","['Drama', 'Romance', 'Faroeste']",0,0
10,Pavor nos Bastidores,Stage Fright,1950,111,['Alfred Hitchcock'],"['Whitfield Cook', 'Alma Reville', 'Selwyn Jepson']","['Marlene Dietrich', 'Jane Wyman', 'Richard Todd']",7.0,17000.0,Um estudante inglês de teatro e seu pai ajudam um jovem acusado de matar o marido de uma atriz.,"['Filme noir', 'Mistério', 'Suspense']",1437000,511
11,Sombras do Mal,Night and the City,1950,101,['Jules Dassin'],"['Jo Eisinger', 'Gerald Kersh', 'Austin Dempster']","['Richard Widmark', 'Gene Tierney', 'Googie Withers']",7.9,16000.0,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.,"['Policial', 'Filme noir', 'Esportes', 'Suspense']",0,0
12,Mortalmente Perigosa,Gun Crazy,1950,87,['Joseph H. Lewis'],"['MacKinlay Kantor', 'Millard Kaufman', 'Dalton Trumbo']","['John Dall', 'Peggy Cummins', 'Berry Kroeger']",7.6,15000.0,Dois jovens perturbados liberam seu fascínio por armas em uma onda de crimes.,"['Policial', 'Drama', 'Filme noir', 'Romance', 'Suspense']",400000,17322
13,Orfeu,Orphée,1950,112,['Jean Cocteau'],['Jean Cocteau'],"['Jean Marais', 'François Périer', 'María Casares']",7.9,14000.0,Um poeta apaixonado pela morte segue sua infeliz esposa até o submundo.,"['Drama', 'Fantasia', 'Romance']",0,0
14,O Matador,The Gunfighter,1950,85,['Henry King'],"['William Bowers', 'William Sellers', 'André De Toth']","['Gregory Peck', 'Helen Westcott', 'Millard Mitchell']",7.7,13000.0,"O famoso atirador Jimmy Ringo viaja para a cidade para encontrar seu verdadeiro amor, que não quer vê-lo. Ele não veio à procura de problemas, mas os problemas o encontram em todos os cantos.",['Faroeste'],0,0
15,O Papai da Noiva,Father of the Bride,1950,92,['Vincente Minnelli'],"['Frances Goodrich', 'Albert Hackett', 'Edward Streeter']","['Spencer Tracy', 'Joan Bennett', 'Elizabeth Taylor']",7.1,13000.0,"The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.","['Comédia', 'Drama', 'Romance', 'Adicionar aviso de conteúdo']",0,0
16,Nascida Ontem,Born Yesterday,1950,103,['George Cukor'],"['Garson Kanin', 'Albert Mannheimer', 'Yves Mirande']","['Judy Holliday', 'William Holden', 'Broderick Crawford']",7.5,13000.0,"While in Washington to lobby for favorable legislation, a garbage tycoon hires a reporter to teach his ex-showgirl mistress proper etiquette to better fit in with high society, but she ends up learning more than he bargained for.","['Comédia', 'Drama', 'Romance']",0,0
17,Passos na Noite,Where the Sidewalk Ends,1950,95,['Otto Preminger'],"['Ben Hecht', 'Victor Trivas', 'Frank P. Rosenberg']","['Dana Andrews', 'Gene Tierney', 'Gary Merrill']",7.6,10000.0,O Detetive Mark Dixon quer ser algo que seu pai não era: um homem do lado certo da lei. Será que a natureza viciosa de Dixon levara o melhor sobre ele?,"['Policial', 'Drama', 'Filme noir']",0,0
18,Flechas de Fogo,Broken Arrow,1950,93,['Delmer Daves'],"['Elliott Arnold', 'Albert Maltz', 'Michael Blankfort']","['James Stewart', 'Jeff Chandler', 'Debra Paget']",7.1,10000.0,Tom Jeffords tenta fazer a paz entre colonos e apaches no território do Arizona.,"['Drama', 'Romance', 'Faroeste']",0,0
19,A Ilha do Tesouro,Treasure Island,1950,96,['Byron Haskin'],"['Lawrence Edward Watkin', 'Robert Louis Stevenson']","['Bobby Driscoll', 'Robert Newton', 'Basil Sydney']",6.9,9800.0,As aventuras de caça ao tesouro do jovem Jim Hawkins e do capitão pirata Long John Silver.,"['Aventura', 'Família']",0,0
20,Pânico nas Ruas,Panic in the Streets,1950,96,['Elia Kazan'],"['Richard Murphy', 'Daniel Fuchs', 'Edna Anhalt']","['Richard Widmark', 'Paul Douglas', 'Barbara Bel Geddes']",7.2,9100.0,Um médico e um policial de Nova Orleans têm apenas 48 horas para rastrear um assassino infectado com peste pneumônica.,"['Policial', 'Drama', 'Filme noir', 'Suspense', 'Adicionar aviso de conteúdo']",1400000,29
21,Stromboli,Stromboli (Terra di Dio),1950,107,['Roberto Rossellini'],"['Roberto Rossellini', 'Sergio Amidei', 'Gian Paolo Callegari']","['Ingrid Bergman', 'Mario Vitale', 'Renzo Cesana']",7.2,8200.0,"Karin, uma jovem mulher báltica, casa-se com o pescador Antonio para escapar de um campo de prisioneiros. Mas não se pode habituar à vida dura da aldeia de Antonio, ameaçada pelo vulcão Stromboli.",['Drama'],1000000,17532
