b2BEventId,cities,id,title,originalTitle,type,movieIdUrl,ancineId,countryOrigin,priority,contentRating,duration,rating,synopsis,cast,director,distributor,inPreSale,isReexhibition,urlKey,isPlaying,countIsPlaying,premiereDate,creationDate,city,siteURL,nationalSiteURL,images,genres,ratingDescriptors,accessibilityHubs,completeTags,tags,trailers,partnershipType
,[],22073,A Maldição da Chorona,The Curse of La Llorona,Filme,,,Estados Unidos,18,14 anos,93,0.0,"A mulher chorona. Uma aparição horripilante, presa entre o Céu e o Inferno, presa em um terrível destino selado por seus próprios atos. A menção de seu nome alcançou o terror em todo o mundo por gerações.
Na vida, ela afogou seus filhos com uma terrível raiva e jogou-se no rio atrás deles enquanto chorava de dor.","Jaynee-Lynne Kinchen, Raymond Cruz, Linda Cardellini, Sean Patrick Thomas, Patricia Velasquez.",Michael Chaves,Warner Bros,False,False,a-maldicao-da-chorona,True,1,"{'localDate': '2019-04-18T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '18/04', 'hour': '00:00', 'year': '2019'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-maldicao-da-chorona?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-maldicao-da-chorona?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/img/cinema/cartaz/22073-cartaz.jpg', 'type': 'PosterPortrait'}, {'url': 'https://ingresso-a.akamaihd.net/img/cinema/cartaz/22073-destaque.jpg', 'type': 'PosterHorizontal'}]",['Terror'],[],[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=6Y3QdYdobFw', 'embeddedUrl': '//www.youtube.com/embed/6Y3QdYdobFw'}]",
,[],7337,Relatos Selvagens (Relançamento),Relatos Salvajes,Filme,,,"Argentina, Espanha",98,14 anos,122,0.0,"Diante de uma realidade crua e imprevisível, os personagens deste filme caminham sobre a linha tênue que separa a civilização da barbárie. Uma traição amorosa, o retorno do passado, uma tragédia ou mesmo a violência de um pequeno detalhe cotidiano são capazes de empurrar estes personagens para um lugar fora de controle.","Ricardo Darín, Rita Cortese, Oscar Martinez",Damian Szifrón,Warner Bros,False,False,relatos-selvagens-relancamento,True,31,"{'localDate': '2024-11-28T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '28/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/relatos-selvagens-relancamento?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/relatos-selvagens-relancamento?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/img/cinema/cartaz/7337-cartaz.jpg', 'type': 'PosterPortrait'}, {'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/relatos-selvagens-relancamento/8e9f1aab-2d9e-4490-aa61-697faa242021.webp', 'type': 'PosterHorizontal'}]","['Comédia', 'Drama', 'Suspense', 'Thriller']","['Conteúdo Sexual', 'Linguagem Imprópria', 'Violência']",[],[],[],[],
,[],27909, Cabrini, Cabrini,Filme,,,"Estados Unidos, Itália",3200,14 anos,145,0.0,"Em Cabrini, acompanhamos a ascensão de uma mulher pobre e audaciosa que se tornou uma das grandes empreendedoras do século XIX. Através da sua força de vontade, coragem e habilidade empresarial, superou o sexismo e a violenta aversão anti-italiana na Nova Iorque do século XIX.

","Cristiana Dell'Anna, David Morse, John Lithgow",Alejandro Monteverde ,Paris Filmes,False,False,cabrini,True,70,"{'localDate': '2024-11-29T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'sexta-feira', 'dayAndMonth': '29/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/cabrini?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/cabrini?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/cabrini/b0a86262-9f1e-4f16-90b8-4c9b3fd02605.webp', 'type': 'PosterPortrait'}]","['Biografia', 'Drama']","['Drogas Lícitas', 'Violência']",[],[],[],[],
,[],28770,171,171,Filme,,,Brasil,3200,12 anos,95,0.0,"Um 171 é um tipo que pode usar sua habilidade com as palavras para aplicar um golpe ou manipular as pessoas pelo prazer de enganar. No documentário, seis pessoas cumprem pena por motivos diferentes, mas são identificadas nas cadeias como autênticos “171”.
",,Rodrigo Siqueira,Zeta Filmes,False,False,171,True,3,"{'localDate': '2024-11-21T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '21/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/171?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/171?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/171/dd2bbae6-7d6a-4153-a498-b343988c573b.webp', 'type': 'PosterPortrait'}]",['Documentário'],"['Atos Criminosos', 'Drogas Lícitas', 'Linguagem Imprópria']",[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=qYH8viFG3OY', 'embeddedUrl': '//www.youtube.com/embed/qYH8viFG3OY'}]",
,[],28441,A Arca De Noé,A Arca De Noé,Filme,,,Brasil ,3200,Livre,95,0.0,"Tom, um guitarrista talentoso e pragmático, e Vini, um poeta romântico e sonhador, são uma dupla carismática e caótica de ratos. Quando o grande dilúvio se aproxima, apenas um macho e uma fêmea de cada espécie são permitidos na Arca de Noé. Tom consegue entrar, mas Vini fica para fora e conta com a ajuda de uma barata engenhosa e a boa sorte do destino para se juntar ao amigo. Durante a viagem, brigas por território e alimentos se instauram, deixando os animais mais fortes contra os mais fracos. Surge a ideia de um concurso de música, que vira o maior objetivo de todos eles e que faz Tom e Vini, os verdadeiros músicos da arca, se destacarem e serem requisitados.",,"Alois Di Leo, Sergio Machado",Imagem Filmes,False,False,a-arca-de-noe,True,225,"{'localDate': '2024-11-07T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '07/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-arca-de-noe?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-arca-de-noe?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-arca-de-noe/b3fe928b-c364-444c-a397-a8e578c75658.webp', 'type': 'PosterPortrait'}, {'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-arca-de-noe/903ce16f-5b07-4003-835b-a5358f0ce88e.webp', 'type': 'PosterHorizontal'}]",['Animação'],[],[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=hPYRmPkG8rE', 'embeddedUrl': '//www.youtube.com/embed/hPYRmPkG8rE'}, {'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=ILF0kmennLU', 'embeddedUrl': '//www.youtube.com/embed/ILF0kmennLU'}]",
,[],26828,A Contadora De Filmes,La Contadora De Películas,Filme,,,"França, Espanha, Chile",3200,14 anos,116,0.0,"María Margarita é a caçula de quatro irmãos numa família que vive em uma cidade mineira no deserto do Atacama. O momento da semana mais aguardado por eles é o domingo, quando vão ao cinema desfrutar de histórias que os levam para outros mundos. Os pais da menina percebem que ela tem muito talento para contar filmes e a fama da sua habilidade extraordinária se espalha pela região, mudando a sorte da família no momento em que o país se transforma para sempre.
","Antonio de La Torre, Sara Becker, Berénice Bejo, Daniel Bruhl
",Lone Scherfig,Diamond,False,False,a-contadora-de-filmes,True,60,"{'localDate': '2024-11-28T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '28/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-contadora-de-filmes?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-contadora-de-filmes?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-contadora-de-filmes/45d04890-1f51-4fbe-ae07-bb679deddbe9.webp', 'type': 'PosterPortrait'}, {'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-contadora-de-filmes/64a6de5a-19ef-4e3b-a718-a10d0219a01e.webp', 'type': 'PosterHorizontal'}]",['Drama'],"['Conteúdo Sexual', 'Drogas Lícitas', 'Violência']",[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=32ZhFFysokY', 'embeddedUrl': '//www.youtube.com/embed/32ZhFFysokY'}]",
,[],29417,A Estranha Hospedaria Dos Prazeres,A Estranha Hospedaria Dos Prazeres,Filme,,,,3200,Verifique a Classificação,0,0.0,,,,Sem Distribuidor,False,False,a-estranha-hospedaria-dos-prazeres,True,1,"{'localDate': '2024-01-01T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'segunda-feira', 'dayAndMonth': '01/01', 'hour': '00:00', 'year': '2024'}",2024-12-02T09:48:07Z,São Paulo,https://www.ingresso.com/filme/a-estranha-hospedaria-dos-prazeres?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-estranha-hospedaria-dos-prazeres?city=sao-paulo&partnership=home,[],['Ficção'],[],[],[],[],[],
,[],29059,A Favorita Do Rei,Jeanne du Barry,Filme,,,"França, Bélgica",3200,14 anos,117,0.0,"Jeanne Vaubernier, uma jovem de origem humilde, está determinada a sair da sua condição, usando seus encantos. Seu amante, o conde Du Barry, que se beneficia muito dos relacionamentos lucrativos de Jeanne, decide apresentá-la ao Rei. Com a ajuda do influente duque de Richelieu, ele organiza o encontro. Contra todas as expectativas, Luís XV e Jeanne se apaixonam intensamente. Com a companhia da cortesã, o Rei redescobre o prazer de viver, a tal ponto que não consegue mais ficar sem ela e decide torná-la sua favorita oficial. Isso causa um escândalo, pois ninguém quer uma garota “da rua” na Corte.
","Benjamin Lavernhe, Jonnhy Deep, Maïwenn",Maïwenn,Mares Filmes,False,False,a-favorita-do-rei,True,14,"{'localDate': '2024-11-28T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '28/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-favorita-do-rei?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-favorita-do-rei?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-favorita-do-rei/d05ea002-5714-448d-a2cf-4ce3e151efff.webp', 'type': 'PosterPortrait'}]",['Drama'],"['Conteúdo Sexual', 'Drogas Lícitas', 'Violência']",[],"[{'name': 'Festival Varilux 2024', 'background': '', 'color': ''}]",['Festival Varilux 2024'],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=YA9lgtFx69I', 'embeddedUrl': '//www.youtube.com/embed/YA9lgtFx69I'}]",
,[],28781,A Hora Do Orvalho,Il Punto di Rugiada,Filme,,,Itália,3200,14 anos,112,0.0,"Carlo, um jovem mimado e indisciplinado, causa um grave acidente de carro bêbado e é condenado a cumprir um ano de trabalho social em uma casa de repouso. Manuel, um jovem traficante pego em flagrante, chega na Villa Bianca com ele. Luisa, uma enfermeira que trabalha há anos no local, conduzirá os dois a um mundo onde a partilha, o conforto e a aceitação, mudarão para sempre o olhar dos jovens sobre a vida.
","Massimo De Francovich, Luigi Diberti, Eros Pagni, Alessandro Fella, Roberto Gudese, Lucia Rossi, Elena Cotta

",Marco Risi,Imovision,False,False,a-hora-do-orvalho,True,3,"{'localDate': '2024-11-28T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '28/11', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-hora-do-orvalho?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-hora-do-orvalho?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-hora-do-orvalho/e59b5b33-3906-4f16-a753-7d4c961faecf.webp', 'type': 'PosterPortrait'}]",['Drama'],"['Conteúdo Sexual', 'Drogas', 'Violência']",[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=hNrf_GFLPsY', 'embeddedUrl': '//www.youtube.com/embed/hNrf_GFLPsY'}]",
,[],28440,A Substância,The Substance,Filme,,,"Estados Unidos, Reino Unido",3200,18 anos,140,0.0,"Após ser demitida da TV por ser considerada “velha demais” para sua atriz, Elisabeth Sparkle (Demi Moore) recorre a um sinistro programa de aprimoramento corporal. A substância milagrosa promete rejuvenescê-la, mas resulta em uma transformação ainda mais radical. Ela agora precisa dividir seu corpo com Sue (Margaret Qualley), sua versão jovem e melhorada, e, aos poucos, começa a perder completamente o controle da própria vida. Em um pesadelo surreal sobre a busca incessante pela juventude, A Substância revela o preço oculto da perfeição.","Demi Moore, Margaret Qualley, Dennis Quaid ",Coralie Fargeat,Imagem Filmes,False,False,a-substancia,True,4,"{'localDate': '2024-09-19T00:00:00+00:00', 'isToday': False, 'dayOfWeek': 'quinta-feira', 'dayAndMonth': '19/09', 'hour': '00:00', 'year': '2024'}",0001-01-01T00:00:00Z,São Paulo,https://www.ingresso.com/filme/a-substancia?city=sao-paulo&partnership=home,https://www.ingresso.com/filme/a-substancia?city=sao-paulo&partnership=home,"[{'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-substancia/7fcc65d8-a3d2-447c-8d04-144600a488fc.webp', 'type': 'PosterPortrait'}, {'url': 'https://ingresso-a.akamaihd.net/prd/img/movie/a-substancia/cf1fec21-acea-48e1-ab13-469e5bb65ad5.webp', 'type': 'PosterHorizontal'}]","['Drama', 'Terror']","['Conteúdo Sexual', 'Drogas Lícitas', 'Violência Extrema']",[],[],[],"[{'type': 'Youtube', 'url': 'https://www.youtube.com/watch?v=AAIUQJrpc2M', 'embeddedUrl': '//www.youtube.com/embed/AAIUQJrpc2M'}]",
