,NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR
40,VILLAGE MALL 01,5003634.0,00.779.721/0058-87,EM FUNCIONAMENTO,24/04/2021,04/11/2012,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,2106 CINEMARK VILLAGE MALL,22951,EM FUNCIONAMENTO,24/04/2021,WWW.CINEMARK.COM.BR,AV DAS AMÉRICAS ,3900.0,3º ANDAR LJ 305,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
41,VILLAGE MALL 02,5003635.0,00.779.721/0058-87,EM FUNCIONAMENTO,24/04/2021,04/11/2012,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,2106 CINEMARK VILLAGE MALL,22951,EM FUNCIONAMENTO,24/04/2021,WWW.CINEMARK.COM.BR,AV DAS AMÉRICAS ,3900.0,3º ANDAR LJ 305,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
42,VILLAGE MALL 03,5003636.0,00.779.721/0058-87,EM FUNCIONAMENTO,24/04/2021,04/11/2012,90.0,2.0,1.0,1.0,SIM,NÃO,SIM,2106 CINEMARK VILLAGE MALL,22951,EM FUNCIONAMENTO,24/04/2021,WWW.CINEMARK.COM.BR,AV DAS AMÉRICAS ,3900.0,3º ANDAR LJ 305,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
43,VILLAGE MALL 04,5003637.0,00.779.721/0058-87,EM FUNCIONAMENTO,24/04/2021,04/11/2012,76.0,2.0,1.0,1.0,SIM,NÃO,SIM,2106 CINEMARK VILLAGE MALL,22951,EM FUNCIONAMENTO,24/04/2021,WWW.CINEMARK.COM.BR,AV DAS AMÉRICAS ,3900.0,3º ANDAR LJ 305,BARRA DA TIJUCA ,RIO DE JANEIRO,22640-102,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
82,SALA METROPOLITANO BARRA 01,5004742.0,00.779.721/0069-30,EM FUNCIONAMENTO,24/04/2021,18/06/2014,127.0,2.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
83,SALA METROPOLITANO BARRA 02,5004743.0,00.779.721/0069-30,EM FUNCIONAMENTO,24/04/2021,18/06/2014,260.0,4.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
84,SALA METROPOLITANO BARRA 03,5004744.0,00.779.721/0069-30,EM FUNCIONAMENTO,24/04/2021,18/06/2014,230.0,4.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
85,SALA METROPOLITANO BARRA 04,5004745.0,00.779.721/0069-30,EM FUNCIONAMENTO,01/07/2021,18/06/2014,230.0,4.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
86,SALA METROPOLITANO BARRA 05,5004746.0,00.779.721/0069-30,EM FUNCIONAMENTO,24/04/2021,18/06/2014,137.0,2.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
87,SALA METROPOLITANO BARRA 06,5004747.0,00.779.721/0069-30,EM FUNCIONAMENTO,24/04/2021,18/06/2014,193.0,2.0,,,SIM,NÃO,SIM,2112 CINEMARK METROPOLITANO BARRA,27386,EM FUNCIONAMENTO,24/04/2021,,"AV.4 PAA 10,292/PAL38,863",2002.0,SHOP METROPOLIT,JACAREPAGUÁ,RIO DE JANEIRO,22750-000,RJ,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843,00.779.721/0001-41,REGULAR,CINEMARK
